# BR  N_sig_nom  q_obs  p_value  accepted  valid_toys  N_rmd_prof  N_acc_prof
0 0 0 1 1 1000 1.657613606 15.32503421
2.448979592e-05 0.04184764491 0.08369522816 0.34 1 1000 1.657613611 15.32503421
4.897959184e-05 0.08369528982 0.1673905232 0.363 1 1000 1.657613617 15.32503422
7.346938776e-05 0.1255429347 0.2510858218 0.367 1 1000 1.657613623 15.32503422
9.795918367e-05 0.1673905796 0.3347811239 0.4 1 1000 1.657613628 15.32503422
0.0001224489796 0.2092382246 0.4184764295 0.414 1 1000 1.657613634 15.32503423
0.0001469387755 0.2510858695 0.5021717386 0.425 1 1000 1.65761364 15.32503423
0.0001714285714 0.2929335144 0.5858670512 0.474 1 1000 1.657613646 15.32503424
0.0001959183673 0.3347811593 0.6695623672 0.441 1 1000 1.657613651 15.32503424
0.0002204081633 0.3766288042 0.7532576868 0.233 1 1000 1.657613657 15.32503425
0.0002448979592 0.4184764491 0.8369530099 0.254 1 1000 1.657613663 15.32503425
0.0002693877551 0.460324094 0.9206483365 0.235 1 1000 1.657613668 15.32503426
0.000293877551 0.5021717389 1.004343667 0.265 1 1000 1.657613674 15.32503426
0.0003183673469 0.5440193838 1.088039 0.2752752753 1 999 1.65761368 15.32503426
0.0003428571429 0.5858670288 1.171734337 0.256 1 1000 1.657613686 15.32503427
0.0003673469388 0.6277146737 1.255429678 0.27 1 1000 1.657613691 15.32503427
0.0003918367347 0.6695623186 1.339125022 0.291 1 1000 1.657613697 15.32503428
0.0004163265306 0.7114099635 1.42282037 0.235 1 1000 1.657613703 15.32503428
0.0004408163265 0.7532576084 1.506515721 0.16 1 1000 1.657613708 15.32503429
0.0004653061224 0.7951052533 1.590211075 0.158 1 1000 1.657613714 15.32503429
0.0004897959184 0.8369528982 1.673906434 0.16 1 1000 1.65761372 15.3250343
0.0005142857143 0.8788005431 1.757601795 0.174 1 1000 1.657613726 15.3250343
0.0005387755102 0.920648188 1.84129716 0.1831831832 1 999 1.657613731 15.3250343
0.0005632653061 0.962495833 1.924992529 0.188 1 1000 1.657613737 15.32503431
0.000587755102 1.004343478 2.008687901 0.166 1 1000 1.657613743 15.32503431
0.000612244898 1.046191123 2.092383277 0.202 1 1000 1.657613748 15.32503432
0.0006367346939 1.088038768 2.176078656 0.139 1 1000 1.657613754 15.32503432
0.0006612244898 1.129886413 2.259774038 0.112 1 1000 1.65761376 15.32503433
0.0006857142857 1.171734058 2.343469425 0.099 0 1000 1.657613766 15.32503433
0.0007102040816 1.213581702 2.427164814 0.115 1 1000 1.657613771 15.32503434
0.0007346938776 1.255429347 2.510860207 0.11 1 1000 1.657613777 15.32503434
0.0007591836735 1.297276992 2.594555604 0.1291291291 1 999 1.657613783 15.32503434
0.0007836734694 1.339124637 2.678251004 0.125 1 1000 1.657613788 15.32503435
0.0008081632653 1.380972282 2.761946408 0.103 1 1000 1.657613794 15.32503435
0.0008326530612 1.422819927 2.845641815 0.133 1 1000 1.6576138 15.32503436
0.0008571428571 1.464667572 2.929337226 0.093 0 1000 1.657613806 15.32503436
0.0008816326531 1.506515217 3.01303264 0.077 0 1000 1.657613811 15.32503437
0.000906122449 1.548362862 3.096728057 0.07 0 1000 1.657613817 15.32503437
0.0009306122449 1.590210507 3.180423479 0.07 0 1000 1.657613823 15.32503438
0.0009551020408 1.632058152 3.264118903 0.073 0 1000 1.657613828 15.32503438
0.0009795918367 1.673905796 3.347814331 0.079 0 1000 1.657613834 15.32503438
0.001004081633 1.715753441 3.431509763 0.08 0 1000 1.65761384 15.32503439
0.001028571429 1.757601086 3.515205198 0.066 0 1000 1.657613845 15.32503439
0.001053061224 1.799448731 3.598900637 0.086 0 1000 1.657613851 15.3250344
0.00107755102 1.841296376 3.682596079 0.05 0 1000 1.657613857 15.3250344
0.001102040816 1.883144021 3.766291525 0.048 0 1000 1.657613863 15.32503441
0.001126530612 1.924991666 3.849986974 0.048 0 1000 1.657613868 15.32503441
0.001151020408 1.966839311 3.933682427 0.053 0 1000 1.657613874 15.32503442
0.001175510204 2.008686956 4.017377883 0.048 0 1000 1.65761388 15.32503442
0.0012 2.050534601 4.101073343 0.051 0 1000 1.657613885 15.32503442
